id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Roosevelt;Satterfield;Queen.Stroman@gmail.com;forenenst sweetly;2024-05-14T02:32:45;30419;23946
2;Candida;Keeling;Frieda_Nicolas@yahoo.com;in failing;2024-05-14T03:34:36;19696;28946
3;Mckenzie;Ziemann;Elsie.Bayer0@gmail.com;grid mmm curtsy;2024-05-13T21:32:58;27521;11018
4;Darien;Johns;Cletus_Vandervort@gmail.com;within huzzah;2024-05-14T01:34:30;23553;6900
5;Alexandre;Herzog;Dominic_Renner41@gmail.com;mostly on oof;2024-05-13T19:22:49;17717;20160
6;Buddy;Abshire;Larissa36@hotmail.com;login;2024-05-14T00:51:13;9193;11505
7;Felicita;Wuckert;Terence5@gmail.com;for;2024-05-14T05:32:34;10001;10426
8;Rowan;Funk;Adriel_Price@gmail.com;hence gullible;2024-05-14T12:58:20;178;27656
9;Janick;Koss;Fermin.Rutherford@yahoo.com;suspiciously;2024-05-14T01:43:55;17020;13836
10;Melvina;Yost;Laron.Zieme34@yahoo.com;those archer;2024-05-14T08:14:55;16425;5294
